Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 51,COc1cc(ccc1O)c1ccc2c(c1)NC(=O)/C/2=C\c1[nH]ccc1,C20H16N2O3,332.35,25,17,0.05,3,3,3,100.44,74.35,2.68,2.96,3.21,1.77,4.07,2.94,-4.07,2.82e-02,8.50e-05,Moderately soluble,-4.18,2.17e-02,6.54e-05,Moderately soluble,-6.69,6.82e-05,2.05e-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.23,0,0,0,0,0,0.55,0,1,0,2.85
Molecule 52,C#CCN(c1ccc(c(c1)F)C(=O)N[C@H](C(=O)O)CCc1nnn[nH]1)Cc1cc2c(=O)nc([nH]c2cc1C)C,C26H25FN8O4,532.53,39,21,0.27,11,9,4,140.14,169.85,1.43,1.77,2.00,2.78,4.08,2.41,-3.93,6.27e-02,1.18e-04,Soluble,-4.95,5.91e-03,1.11e-05,Moderately soluble,-7.66,1.16e-05,2.18e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.29,2,2,2,1,1,0.11,0,1,2,4.03
Molecule 53,CNC(=O)c1nccc(c1)Oc1ccc(c(c1)F)NC(=O)Nc1cc(nn1c1ccc2c(c1)cccn2)C(C)(C)C,C30H28FN7O3,553.59,41,27,0.17,10,7,3,154.12,123.06,3.52,4.93,6.09,3.38,3.80,4.34,-6.21,3.45e-04,6.23e-07,Poorly soluble,-7.25,3.10e-05,5.61e-08,Poorly soluble,-10.32,2.65e-08,4.79e-11,Insoluble,Low,No,No,No,Yes,Yes,No,Yes,-6.18,1,3,0,1,0,0.55,0,0,3,4.03
Molecule 54,COc1ccc2c(c1)nccc2OCc1nnc2n1nc(cc2)c1ccccc1,C22H17N5O2,383.40,29,25,0.09,5,6,0,108.99,74.43,3.36,3.14,3.78,2.96,3.22,3.29,-4.50,1.20e-02,3.14e-05,Moderately soluble,-4.37,1.63e-02,4.24e-05,Moderately soluble,-7.89,4.97e-06,1.30e-08,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.41,0,0,0,0,0,0.55,0,0,1,3.03
Molecule 55,CC(c1noc(n1)N1CCC(CC1)COc1ccc(nc1)c1ccc(cc1)S(=O)(=O)C)C,C23H28N4O4S,456.56,32,17,0.43,7,7,0,125.47,106.80,3.94,4.00,4.65,2.47,3.26,3.66,-5.12,3.45e-03,7.55e-06,Moderately soluble,-5.94,5.18e-04,1.14e-06,Moderately soluble,-7.17,3.08e-05,6.75e-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.25,0,0,0,0,0,0.55,0,0,2,3.72
Molecule 56,OP(=O)(C(c1ccc(cc1)C[C@@](n1nnc2c1cccc2)(c1nc2c(s1)cccc2)C/C=C/c1ccccc1)(F)F)O,C31H25F2N4O3PS,602.59,42,30,0.13,9,8,2,160.80,139.18,2.53,6.33,7.98,5.07,5.96,5.57,-7.50,1.91e-05,3.17e-08,Poorly soluble,-9.04,5.46e-07,9.07e-10,Poorly soluble,-9.95,6.70e-08,1.11e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.48,2,3,0,2,2,0.17,0,1,3,4.89
Molecule 57,Brc1ccc(cc1)N1C(=N)S/C(=C\c2ccc(o2)c2ccc3c(c2)C(=O)N=C3O)/C1=O,C22H12BrN3O4S,494.32,31,17,0.00,3,6,2,129.50,132.26,2.96,4.60,4.35,3.42,4.94,4.05,-6.01,4.82e-04,9.76e-07,Poorly soluble,-7.10,3.91e-05,7.91e-08,Poorly soluble,-7.45,1.74e-05,3.52e-08,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,No,-6.05,0,1,0,1,0,0.55,0,2,2,3.89
Molecule 58,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)CCc1c[nH]c2c1c(=O)nc([nH]2)N,C20H21N5O6,427.41,31,15,0.25,10,7,6,111.15,191.26,0.53,0.22,0.67,0.47,2.03,0.79,-2.33,2.01e+00,4.71e-03,Soluble,-3.80,6.84e-02,1.60e-04,Soluble,-4.92,5.17e-03,1.21e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-8.75,2,0,1,1,2,0.11,0,0,2,3.38
Molecule 59,COc1cc(NCc2ccc3c(c2C)c(N)nc(n3)N)cc(c1OC)OC,C19H23N5O3,369.42,27,16,0.26,6,5,3,106.58,117.54,3.00,2.55,2.41,1.18,2.21,2.27,-3.78,6.14e-02,1.66e-04,Soluble,-4.67,7.98e-03,2.16e-05,Moderately soluble,-6.30,1.85e-04,5.00e-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,Yes,-6.74,0,0,0,0,0,0.55,1,0,1,2.86
Molecule 60,OO[C@]1(Cc2ccc3c(c2)cccc3)N=C2N(C1=O)C=C(N[C@H]2Cc1ccccc1)c1ccc(cc1)O,C30H25N3O4,491.54,37,22,0.13,6,5,3,153.08,94.39,3.58,5.66,3.59,3.44,4.21,4.10,-6.50,1.56e-04,3.18e-07,Poorly soluble,-7.41,1.93e-05,3.92e-08,Poorly soluble,-8.82,7.49e-07,1.52e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-5.28,0,2,0,0,1,0.55,0,1,2,5.16
Molecule 61,OC(=O)Cn1c(O)c(nc1[C@H]([C@@H](O)C)N)Cc1c[nH]c2c1c(F)ccc2,C17H19FN4O4,362.36,26,14,0.29,6,7,5,91.81,137.39,1.68,-1.73,1.36,0.16,1.55,0.61,-1.00,3.63e+01,1.00e-01,Very soluble,-0.64,8.28e+01,2.28e-01,Very soluble,-3.20,2.27e-01,6.27e-04,Soluble,High,No,No,No,No,No,No,No,-9.74,0,0,0,1,0,0.55,0,0,1,4.13
Molecule 62,Clc1ccccc1n1[nH]c2c(c1=O)c(c1cccc(c1)N(C)C)n(c(=O)c2)C,C21H19ClN4O2,394.85,28,21,0.14,3,2,1,114.07,63.03,3.44,3.18,3.40,3.79,3.47,3.46,-4.65,8.87e-03,2.25e-05,Moderately soluble,-4.17,2.64e-02,6.69e-05,Moderately soluble,-6.78,6.60e-05,1.67e-07,Poorly soluble,High,Yes,No,No,No,Yes,No,No,-6.45,0,0,0,0,0,0.55,0,0,1,3.08
Molecule 63,COc1ccc2c(c1)n(C)c(n2)COc1ccc(cc1)CC1SC(=O)NC1=O,C20H19N3O4S,397.45,28,15,0.25,6,5,1,110.84,107.75,2.46,3.05,2.52,1.68,3.06,2.56,-4.23,2.36e-02,5.94e-05,Moderately soluble,-4.98,4.17e-03,1.05e-05,Moderately soluble,-6.13,2.94e-04,7.40e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,1,1,3.54
Molecule 64,O=C(NC(=O)c1ccc(cc1Cl)Cl)Nc1ccc(c(c1C)C)OCCCC(=O)O,C20H20Cl2N2O5,439.29,29,12,0.25,10,5,3,111.49,104.73,2.29,4.73,4.62,3.67,4.25,3.91,-5.19,2.84e-03,6.46e-06,Moderately soluble,-6.66,9.64e-05,2.19e-07,Poorly soluble,-7.14,3.21e-05,7.31e-08,Poorly soluble,High,No,No,No,Yes,Yes,No,No,-5.62,0,0,0,0,0,0.56,0,0,3,2.87
Molecule 65,OC(=O)c1cccc(c1)c1cccc(c1O)N/N=C\1/C(=NN(C1=O)c1ccc(c(c1)C)C)C,C25H22N4O4,442.47,33,18,0.12,5,6,3,135.16,114.59,2.97,4.77,3.61,2.97,4.36,3.74,-5.66,9.63e-04,2.18e-06,Moderately soluble,-6.91,5.48e-05,1.24e-07,Poorly soluble,-7.45,1.58e-05,3.56e-08,Poorly soluble,High,No,No,No,No,Yes,No,No,-5.61,0,1,0,0,0,0.56,1,2,2,3.80
Molecule 66,COc1cccc(c1c1ccc(cc1)C(F)(F)F)C(=O)Nc1ccc2c(c1)CCN(C2)C(=O)Oc1ccccc1,C31H25F3N2O4,546.54,40,24,0.16,9,7,1,148.43,67.87,4.46,6.53,7.62,4.74,6.20,5.91,-7.19,3.51e-05,6.42e-08,Poorly soluble,-7.75,9.66e-06,1.77e-08,Poorly soluble,-10.59,1.42e-08,2.60e-11,Insoluble,Low,No,Yes,No,Yes,Yes,Yes,No,-5.00,2,3,0,1,1,0.17,0,0,3,3.67
Molecule 67,CCc1nc(N)nc(c1c1ccc(cc1)NCc1cc(F)cc(c1)F)N,C19H19F2N5,355.38,26,18,0.16,5,4,3,99.76,89.85,3.00,3.74,4.27,3.23,3.81,3.61,-4.58,9.31e-03,2.62e-05,Moderately soluble,-5.32,1.70e-03,4.80e-06,Moderately soluble,-7.73,6.57e-06,1.85e-08,Poorly soluble,High,No,No,Yes,Yes,No,Yes,Yes,-5.81,0,0,0,0,0,0.55,0,0,2,2.85
Molecule 68,COc1ccc(cc1F)CSc1nnc(o1)c1ccc2c(c1)OCO2,C17H13FN2O4S,360.36,25,17,0.18,5,7,0,88.46,91.91,3.69,3.64,4.17,2.96,4.13,3.72,-4.54,1.04e-02,2.88e-05,Moderately soluble,-5.26,1.99e-03,5.51e-06,Moderately soluble,-6.53,1.07e-04,2.96e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.91,0,0,0,0,0,0.55,0,0,2,3.29
Molecule 69,Fc1ccc2c(c1)nc(c(c2)[C@@H](Nc1ncnc2c1nc[nH]2)C)c1ccccn1,C21H16FN7,385.40,29,25,0.10,4,6,2,108.77,92.27,2.05,3.31,4.18,2.04,4.00,3.12,-4.69,7.89e-03,2.05e-05,Moderately soluble,-4.92,4.59e-03,1.19e-05,Moderately soluble,-8.83,5.67e-07,1.47e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.30,0,0,0,0,0,0.55,0,0,1,3.53
Molecule 70,Clc1c(nnc2c1c(nn2CC(O)(C)C)c1ccccc1)c1ccccc1,C21H19ClN4O,378.85,27,21,0.19,4,4,1,108.09,63.83,3.42,3.65,4.58,3.80,4.22,3.94,-4.80,6.01e-03,1.59e-05,Moderately soluble,-4.68,7.93e-03,2.09e-05,Moderately soluble,-7.58,9.90e-06,2.61e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.02,0,0,0,0,0,0.55,0,0,2,3.24
Molecule 71,O=C(c1ccccc1)Nc1c[nH]nc1c1nc2c([nH]1)cccc2,C17H13N5O,303.32,23,20,0.00,4,3,3,87.89,86.46,1.86,2.31,3.01,1.68,3.14,2.40,-3.56,8.44e-02,2.78e-04,Soluble,-3.76,5.22e-02,1.72e-04,Soluble,-6.77,5.14e-05,1.69e-07,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-6.51,0,0,0,0,0,0.55,0,0,0,2.35
Molecule 72,Cc1ccc2c(c1)C(=O)[C@@]1(C2=O)O[C@H]([C@H]([C@H]1C(=O)O)C(=O)Nc1ccc(cc1)c1nnsc1)c1ccc(c(c1)Cl)Cl,C29H19Cl2N3O6S,608.45,41,23,0.17,6,8,2,152.13,163.79,2.78,4.66,5.15,2.13,6.04,4.15,-6.57,1.65e-04,2.71e-07,Poorly soluble,-7.83,9.07e-06,1.49e-08,Poorly soluble,-9.63,1.43e-07,2.36e-10,Poorly soluble,Low,No,Yes,Yes,No,No,No,No,-6.70,1,2,1,1,2,0.11,1,1,2,5.31
Molecule 73,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NC(=O)Nc1[nH]c(N)nc(=O)c1N,C17H19N7O7,433.38,31,12,0.18,11,8,8,108.16,242.62,-0.10,-2.24,-0.74,-1.59,-1.57,-1.25,-0.68,9.13e+01,2.11e-01,Very soluble,-2.32,2.07e+00,4.77e-03,Soluble,-2.91,5.33e-01,1.23e-03,Soluble,Low,No,No,No,No,No,No,No,-10.53,2,1,2,1,3,0.11,0,0,2,3.47
Molecule 74,O[C@H]1[C@@H](C[C@@H]([C@H]1O)COS(=O)(=O)N)Nc1ccnc2n1nc(c2)c1cccc(c1)SC(F)(F)F,C19H20F3N5O5S2,519.52,34,15,0.37,8,11,4,116.64,185.75,2.16,1.99,3.90,1.49,-0.50,1.81,-4.11,4.00e-02,7.71e-05,Moderately soluble,-5.52,1.58e-03,3.04e-06,Moderately soluble,-4.11,4.07e-02,7.83e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.06,1,1,1,1,2,0.55,0,0,2,4.73
Molecule 75,O=C(Nc1cn2c(c1C)c(ncn2)Nc1ccc2c(c1)cnn2Cc1cccc(c1)F)OC[C@@H]1COCCN1,C27H27FN8O3,530.55,39,24,0.26,9,8,3,147.20,119.63,4.02,2.84,3.70,2.72,1.94,3.04,-4.78,8.80e-03,1.66e-05,Moderately soluble,-5.01,5.18e-03,9.76e-06,Moderately soluble,-8.16,3.66e-06,6.90e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.52,2,2,0,0,0,0.17,0,0,2,4.59
Molecule 76,O=C(c1cccc(n1)c1nc2c([nH]1)cccc2)N1CCN(CC1)C(=O)c1cccc(n1)c1nc2c([nH]1)cccc2,C30H24N8O2,528.56,40,30,0.13,6,6,2,158.05,123.76,3.24,3.36,3.40,1.40,4.17,3.11,-5.39,2.14e-03,4.05e-06,Moderately soluble,-5.64,1.22e-03,2.31e-06,Moderately soluble,-9.70,1.06e-07,2.00e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.14,1,2,0,0,0,0.55,0,0,1,3.33
Molecule 77,Clc1ccc(cc1)c1onc2c1cc(cc2)c1ccnc(n1)N,C17H11ClN4O,322.75,23,21,0.00,2,4,1,89.89,77.83,2.93,3.59,4.20,2.50,3.71,3.38,-4.65,7.29e-03,2.26e-05,Moderately soluble,-4.91,3.96e-03,1.23e-05,Moderately soluble,-7.44,1.18e-05,3.65e-08,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-5.72,0,0,0,0,0,0.55,0,0,1,2.97
Molecule 78,N#CCC1CCN(CC1)c1nc(Nc2ccc(cc2)N2CCC(CC2)O)c2c(n1)cn[nH]c2=O,C24H28N8O2,460.53,34,16,0.46,5,6,3,136.92,134.06,2.66,2.63,1.79,1.26,1.77,2.02,-4.37,1.96e-02,4.26e-05,Moderately soluble,-5.10,3.70e-03,8.02e-06,Moderately soluble,-5.83,6.84e-04,1.49e-06,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.24,0,1,0,1,0,0.55,1,0,1,3.77
Molecule 79,Nc1ccc2c3c1cccc3c(=O)[nH]c2=O,C12H8N2O2,212.20,16,13,0.00,0,2,2,63.94,75.95,1.08,1.29,1.07,1.91,2.62,1.59,-2.57,5.72e-01,2.69e-03,Soluble,-2.48,6.95e-01,3.28e-03,Soluble,-4.41,8.18e-03,3.85e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,1,1.64
Molecule 80,OCCn1ncc(c1)c1cnc(c2c1scc2c1ccc(cc1)NC(=O)Nc1cccc(c1)F)N,C25H21FN6O2S,488.54,35,26,0.08,8,5,4,136.59,146.33,2.61,3.00,5.23,2.84,3.94,3.52,-4.78,8.10e-03,1.66e-05,Moderately soluble,-5.74,8.95e-04,1.83e-06,Moderately soluble,-8.57,1.30e-06,2.66e-09,Poorly soluble,Low,No,Yes,Yes,Yes,No,No,No,-7.15,0,2,1,1,0,0.55,0,0,2,3.59
Molecule 81,CNc1cc2[nH]c(=O)n(c(=O)c2cc1F)c1ccc(cc1)NC(=O)NS(=O)(=O)c1ccc(s1)Cl,C20H15ClFN5O5S2,523.95,34,21,0.05,7,6,4,127.63,178.78,2.47,3.93,4.20,2.50,2.84,3.19,-5.56,1.45e-03,2.76e-06,Moderately soluble,-7.38,2.17e-05,4.13e-08,Poorly soluble,-7.73,9.85e-06,1.88e-08,Poorly soluble,Low,No,No,No,No,No,No,Yes,-6.71,1,1,1,1,1,0.55,0,0,2,3.51
Molecule 82,O=C(c1ccc(cc1Cl)S(=O)(=O)C)Nc1ccc(c(c1)c1ccccn1)Cl,C19H14Cl2N2O3S,421.30,27,18,0.05,5,4,1,107.00,84.51,2.41,3.84,5.60,3.24,4.24,3.87,-5.03,3.89e-03,9.23e-06,Moderately soluble,-5.31,2.06e-03,4.89e-06,Moderately soluble,-8.51,1.31e-06,3.11e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.14,0,1,0,0,0,0.55,0,0,2,2.68
Molecule 83,Clc1ccc(cc1)[C@@]1(O)CCN(CC1(C)C)CC/C=C\1/c2cc(ccc2OCc2c1cccn2)C(O)(C)C,C32H37ClN2O3,533.10,38,18,0.41,5,5,2,157.22,65.82,4.80,4.94,5.55,3.77,6.86,5.18,-6.28,2.81e-04,5.27e-07,Poorly soluble,-6.06,4.65e-04,8.72e-07,Poorly soluble,-9.74,9.75e-08,1.83e-10,Poorly soluble,High,No,Yes,No,No,No,No,No,-6.04,1,3,0,0,0,0.55,0,0,2,5.23
Molecule 84,O=C(C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C)Nc1ccc(cc1)O,C25H22ClN5O2S,491.99,34,22,0.20,5,5,2,139.12,120.64,3.01,4.50,4.64,3.16,5.98,4.26,-5.87,6.57e-04,1.34e-06,Moderately soluble,-6.75,8.66e-05,1.76e-07,Poorly soluble,-8.65,1.10e-06,2.24e-09,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-6.11,0,2,0,0,0,0.55,0,1,2,4.53
Molecule 85,CNc1cccc(c1)NC(=O)N[C@@H]1N=C(c2ccccn2)c2c(N(C1=O)CC(=O)C(C)(C)C)cccc2,C28H30N6O3,498.58,37,18,0.25,9,5,3,151.04,115.79,3.39,3.83,2.93,2.13,3.35,3.13,-5.11,3.87e-03,7.76e-06,Moderately soluble,-5.96,5.50e-04,1.10e-06,Moderately soluble,-8.79,7.99e-07,1.60e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.62,0,2,0,0,0,0.55,0,0,3,4.81
Molecule 86,Oc1ccc2c(c1)ccc(c2)c1noc2c1ccc(c2)O,C17H11NO3,277.27,21,19,0.00,1,4,2,81.00,66.49,2.38,3.91,4.06,2.31,3.42,3.22,-4.63,6.56e-03,2.37e-05,Moderately soluble,-5.00,2.74e-03,9.89e-06,Moderately soluble,-5.96,3.08e-04,1.11e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,No,-5.22,0,0,0,0,0,0.55,0,0,1,2.83
Molecule 87,Cc1cc(ccc1/N=N/c1c(O)ccc2c1cccc2)/N=N/c1ccccc1C,C24H20N4O,380.44,29,22,0.08,4,5,1,117.14,69.67,4.45,7.10,7.99,4.58,6.99,6.22,-6.97,4.08e-05,1.07e-07,Poorly soluble,-8.38,1.58e-06,4.15e-09,Poorly soluble,-9.44,1.39e-07,3.66e-10,Poorly soluble,Low,No,Yes,No,No,No,No,No,-3.58,1,1,0,1,1,0.55,1,1,2,3.11
Molecule 88,Oc1ccc(cc1)N(C(=O)c1cc(n2c1CCCC2)c1cc2OCOc2cc1C(=O)N1Cc2ccccc2C[C@H]1CN1CCOCC1)c1ccccc1,C43H42N4O6,710.82,53,29,0.30,9,7,1,210.00,96.71,5.04,5.79,5.89,3.67,5.46,5.17,-7.71,1.40e-05,1.97e-08,Poorly soluble,-7.59,1.83e-05,2.57e-08,Poorly soluble,-10.44,2.60e-08,3.66e-11,Insoluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.53,1,4,0,1,3,0.55,0,0,3,5.70
Molecule 89,N#Cc1ccc(cc1)N/C(=N\CC(=O)O)/NC(c1ccccc1)c1ccccc1,C23H20N4O2,384.43,29,18,0.09,8,4,3,112.12,97.51,2.39,3.71,3.27,2.99,3.54,3.18,-4.49,1.24e-02,3.22e-05,Moderately soluble,-5.45,1.37e-03,3.56e-06,Moderately soluble,-7.48,1.28e-05,3.34e-08,Poorly soluble,High,No,No,No,No,Yes,No,No,-6.01,0,0,0,0,0,0.55,0,2,3,3.25
Molecule 90,O=C1CCc2c(N1)ncc(c2)/C=C/C(=O)N(Cc1oc2c(c1C)cccc2)C,C22H21N3O3,375.42,28,15,0.23,5,4,1,111.17,75.44,3.03,2.51,2.86,1.91,4.00,2.86,-3.82,5.74e-02,1.53e-04,Soluble,-3.74,6.83e-02,1.82e-04,Soluble,-6.70,7.53e-05,2.00e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.81,0,0,0,0,0,0.55,0,1,1,3.31
Molecule 91,CC[n+]1c(C=CC=CC=c2sc3c(n2CC)cccc3)sc2c1cccc2,C23H23N2S2+,391.57,27,18,0.17,5,0,0,122.78,65.29,0.96,6.96,5.47,4.68,7.32,5.08,-6.82,5.98e-05,1.53e-07,Poorly soluble,-8.14,2.81e-06,7.17e-09,Poorly soluble,-6.15,2.75e-04,7.03e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-3.75,1,0,0,0,1,0.55,0,2,2,4.18
Molecule 92,Clc1cccc(c1c1cc2c[nH]c(=Nc3ccc(cc3)N3CCOCC3)nc2n(c1=O)C)Cl,C24H21Cl2N5O2,482.36,33,22,0.21,3,4,1,134.46,75.51,3.70,3.79,3.92,3.66,5.45,4.11,-5.51,1.48e-03,3.06e-06,Moderately soluble,-5.07,4.11e-03,8.52e-06,Moderately soluble,-8.77,8.19e-07,1.70e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,No,Yes,-6.55,0,2,0,0,0,0.55,1,0,2,3.50
Molecule 93,COc1ccc(c(c1)Nc1nc2ccccc2nc1NS(=O)(=O)c1cccc(c1)NC(=O)C(N)(C)C)Cl,C25H25ClN6O4S,541.02,37,22,0.16,9,7,4,144.37,156.71,3.08,3.40,5.21,2.06,2.22,3.19,-5.18,3.56e-03,6.57e-06,Moderately soluble,-6.37,2.31e-04,4.26e-07,Poorly soluble,-9.37,2.29e-07,4.24e-10,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-7.19,1,2,1,1,1,0.55,0,0,2,4.00
Molecule 94,O=C(Cn1c(Cl)cnc(c1=O)NCC(c1cccc[n+]1[O-])(F)F)NCc1ccccc1F,C20H17ClF3N5O3,467.83,32,18,0.20,9,7,2,111.58,101.48,2.77,1.17,3.00,2.45,2.42,2.36,-3.30,2.35e-01,5.01e-04,Soluble,-2.90,5.94e-01,1.27e-03,Soluble,-6.62,1.11e-04,2.38e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-8.32,0,0,0,0,0,0.55,0,2,2,3.44
Molecule 95,Oc1ccccc1CN(c1ccc(c(c1)C(=O)O)O)Cc1ccccc1O,C21H19NO5,365.38,27,18,0.10,6,5,4,102.65,101.23,2.19,4.04,3.40,2.55,2.45,2.93,-4.75,6.53e-03,1.79e-05,Moderately soluble,-5.87,4.94e-04,1.35e-06,Moderately soluble,-5.18,2.44e-03,6.67e-06,Moderately soluble,High,No,No,Yes,No,Yes,Yes,No,-5.66,0,0,0,0,0,0.56,1,0,2,2.28
Molecule 96,O=CN[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@H](NC(=O)C(N)(C)C)Cc1c[nH]c2c1cccc2,C26H30N6O3,474.55,35,18,0.27,12,4,6,135.01,144.90,1.39,1.81,1.84,1.05,3.43,1.91,-3.51,1.46e-01,3.08e-04,Soluble,-4.47,1.60e-02,3.37e-05,Moderately soluble,-7.91,5.87e-06,1.24e-08,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-7.91,1,1,2,1,1,0.55,0,2,2,4.02
Molecule 97,O=C1N(Cc2ccc(o2)C(F)(F)F)c2c([C@@]31COc1c3cc3OCOc3c1)cccc2,C22H14F3NO5,429.35,31,17,0.23,3,8,0,103.20,61.14,3.36,3.55,4.87,2.74,4.57,3.82,-4.95,4.86e-03,1.13e-05,Moderately soluble,-4.52,1.30e-02,3.03e-05,Moderately soluble,-7.36,1.87e-05,4.35e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.40,0,0,0,0,0,0.55,0,0,2,4.26
Molecule 98,NCCNc1cc(c2ccc[nH]2)c2c3c1c(F)ccc3[nH]c2=O,C17H15FN4O,310.33,23,17,0.12,4,3,4,89.83,86.70,1.82,1.68,2.85,1.87,4.00,2.44,-3.11,2.43e-01,7.85e-04,Soluble,-3.12,2.38e-01,7.67e-04,Soluble,-6.93,3.60e-05,1.16e-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,Yes,-7.00,0,0,0,0,0,0.55,0,0,0,2.59
Molecule 99,O=C(c1cc(O)c(c(c1)[N+](=O)[O-])O)CCN1CCN(CC1)c1cccc(c1)C(F)(F)F,C20H20F3N3O5,439.39,31,12,0.35,7,9,2,115.09,109.83,2.19,3.72,3.81,1.31,1.15,2.44,-4.73,8.14e-03,1.85e-05,Moderately soluble,-5.72,8.41e-04,1.91e-06,Moderately soluble,-4.46,1.53e-02,3.49e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.34,0,0,0,0,0,0.55,1,3,2,3.08
Molecule 100,Clc1ccc(nc1)NS(=O)(=O)c1ccccc1NC(=O)c1ccc(cc1)n1ccccc1=O,C23H17ClN4O4S,480.92,33,24,0.00,7,5,2,126.17,118.54,2.65,3.75,4.64,2.43,2.40,3.17,-5.26,2.64e-03,5.49e-06,Moderately soluble,-5.93,5.63e-04,1.17e-06,Moderately soluble,-8.72,9.14e-07,1.90e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.57,0,1,0,0,0,0.55,0,0,2,3.28
Molecule 101,OC[C@@H](Cn1c2cc(F)c(cc2cc1C(CO)(C)C)NC(=O)C1(CC1)c1ccc2c(c1)OC(O2)(F)F)O,C26H27F3N2O6,520.50,37,15,0.42,9,9,4,127.91,113.18,3.44,2.92,4.40,2.01,4.46,3.45,-4.61,1.27e-02,2.44e-05,Moderately soluble,-4.96,5.73e-03,1.10e-05,Moderately soluble,-6.53,1.53e-04,2.93e-07,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.40,1,1,0,0,0,0.55,0,0,2,4.25
Molecule 102,O=C/C=C(/Nc1cc(C[C@@H](C(=O)O)N)c(cc1O)O)\COc1ccc2c(c1)cccc2,C23H22N2O6,422.43,31,16,0.13,9,7,5,116.52,142.11,1.51,0.74,2.59,-1.19,2.44,1.22,-2.71,8.18e-01,1.94e-03,Soluble,-3.30,2.10e-01,4.97e-04,Soluble,-5.05,3.80e-03,8.99e-06,Moderately soluble,Low,No,No,No,No,Yes,No,No,-8.35,0,0,1,1,0,0.55,0,4,2,3.68
