Common_Name,SMILES,MorganFingerprint,Predicted_Prob,Predicted_Activity
"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",C[C@@H](Cn1cnc2c(N)nc(N)nc21)OCP(=O)([O-])[O-],[0 1 0 ... 0 0 0],0.7632031,1
GSK-269962A,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,[0 0 0 ... 0 0 0],0.7623551,1
3-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)-BENZENESULFONAMIDE,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,[0 0 1 ... 0 0 0],0.76161736,1
PRX-07034,COc1cc(Cl)cc(C(C)Nc2cc(N3CCNCC3)ccc2S(C)(=O)=O)c1OC.Cl,[0 1 0 ... 0 0 0],0.761575,1
Cytidine-5'-diphospho-beta-D-xylose,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)n1,[0 0 0 ... 0 0 0],0.7614648,1
4-[3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOL-6-YL]-2-METHOXYPHENOL,COc1cc(-c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)ccc1O,[0 0 0 ... 0 0 0],0.76123285,1
GC-24,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(Cc2ccccc2)c1,[0 0 0 ... 0 0 0],0.7612076,1
Paeonol,COc1ccc(C(C)=O)c(O)c1,[0 0 0 ... 0 0 0],0.76100725,1
"6-HYDROXY-1,3-BENZOTHIAZOLE-2-SULFONAMIDE",NS(=O)(=O)c1nc2ccc(O)cc2s1,[0 0 0 ... 0 0 0],0.7609642,1
Liothyronine,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,[1 1 0 ... 0 0 0],0.7607091,1
Ncs-Chromophore,CN[C@H]1[C@@H](O[C@@H]2/C3=C/C#C[C@H]4O[C@@]4([C@H]4COC(=O)O4)C#CC3=C[C@H]2OC(=O)c2c(O)ccc3c(C)cc(OC)cc23)O[C@H](C)[C@H](O)[C@@H]1O,[0 0 0 ... 0 0 0],0.7603519,1
Barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1)CCOP(=O)(O)O,[0 0 0 ... 0 0 0],0.7595825,1
Dihematoporphyrin ether,CC1=C(CCC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C(C)OC(C)C1=C(C)c2cc5[nH]c(cc6nc(cc7[nH]c(cc1n2)c(C)c7CCC(=O)O)C(CCC(=O)O)=C6C)c(C)c5C(C)O)C(C)=C4C(C)O)c(C)c3CCC(=O)O,[0 1 0 ... 0 0 0],0.7593408,1
Letermovir,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,[0 0 0 ... 0 0 0],0.7587249,1
2-{[4-(4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline,c1ccc2nc(COc3ccc(-c4n[nH]cc4-c4ccncc4)cc3)ccc2c1,[0 0 0 ... 0 0 0],0.7584289,1
Efatutazone,Cc1cc(Oc2ccc3nc(COc4ccc(CC5SC(=O)NC5=O)cc4)n(C)c3c2)cc(C)c1N,[0 0 0 ... 0 0 0],0.758254,1
Bis(5-Amidino-Benzimidazolyl)Methane,NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(C(=[NH2+])[NH3+])cc4[nH]3)[nH]c2c1,[0 0 0 ... 0 0 0],0.7577018,1
BMS-754807,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,[0 0 0 ... 0 0 0],0.75727665,1
Acridine Carboxamide,CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12,[0 0 0 ... 0 0 0],0.7569868,1
BFH772,O=C(Nc1cccc(C(F)(F)F)c1)c1cccc2cc(Oc3cc(CO)ncn3)ccc12,[0 0 0 ... 0 0 0],0.7569144,1
Cortivazol,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,[0 0 0 ... 0 0 0],0.75661767,1
Troxerutin,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,[0 0 0 ... 0 0 0],0.7560615,1
Vactosertib,Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1,[0 0 0 ... 0 0 0],0.7559781,1
Cambendazole,CC(C)OC(=O)Nc1ccc2[nH]c(-c3cscn3)nc2c1,[0 1 0 ... 0 0 0],0.75576407,1
Teriflunomide,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,[0 0 0 ... 0 0 0],0.75494015,1
"2-(6-{[(3-chloro-2-methylphenyl)sulfonyl]amino}pyridin-2-yl)-N,N-diethylacetamide",CCN(CC)C(=O)Cc1cccc(NS(=O)(=O)c2cccc(Cl)c2C)n1,[0 0 0 ... 0 0 0],0.7549296,1
Oxidized Acetyl Dithranol,O=C(O)Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,[0 0 0 ... 0 0 0],0.75481427,1
Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,[0 0 0 ... 1 0 0],0.75476485,1
Troriluzole,CN(CC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1)C(=O)CNC(=O)CN,[0 0 0 ... 0 0 0],0.7547043,1
"(R)-1-(4-(4-(Hydroxymethyl)-1,3,2-dioxaborolan-2-YL)phenyl)guanidine",NC(N)=Nc1ccc(B2OC[C@@H](CO)O2)cc1,[0 0 0 ... 0 0 0],0.7544288,1
"3,4-Dihydroxycinnamic Acid",O=C(O)/C=C/c1ccc(O)c(O)c1,[0 0 0 ... 0 0 0],0.75433624,1
Flavin-N7 protonated-adenine dinucleotide,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c([NH3+])ncnc54)[C@H](O)[C@@H]3O)c2cc1C,[0 1 0 ... 0 0 0],0.75427085,1
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,[0 0 0 ... 0 0 0],0.7538953,1
MK-6325,COc1ccc2nc3c(nc2c1)O[C@@H]1C[C@H]2C(=O)N[C@]4(C(=O)NS(=O)(=O)C5(C)CC5)C[C@H]4/C=C/CCCCC[C@H](NC(=O)O[C@@H]4CCC[C@H]4CCCCC3)C(=O)N2C1,[0 0 1 ... 0 0 0],0.7535307,1
Nystatin,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,[0 0 0 ... 0 0 0],0.7528816,1
Zamaporvint,Cc1c(-c2ccnc(C(F)(F)F)c2)ncn1CC(=O)Nc1ccc(-c2cnccn2)cn1,[0 0 0 ... 0 0 1],0.75283307,1
2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,N=C(N)c1ccc2[nH]c(-c3n[nH]c(-c4ccccc4)c3O)nc2c1,[0 0 0 ... 0 0 0],0.7526637,1
1-Allyl-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,C=CCn1c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc2n(CCCC)c1=O,[0 0 0 ... 0 0 0],0.75242984,1
Aminaphthone,Cc1c(OC(=O)c2ccc(N)cc2)c(O)c2ccccc2c1O,[0 0 0 ... 0 0 0],0.75236934,1
Miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,[0 1 0 ... 0 0 0],0.75232625,1
"(5E)-2-Amino-5-(2-pyridinylmethylene)-1,3-thiazol-4(5H)-one",N=C1NC(=O)/C(=C\c2ccccn2)S1,[0 0 0 ... 0 0 0],0.7518951,1
Otamixaban,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1,[1 1 0 ... 0 0 0],0.75177115,1
RPR128515,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cccc(CN)c2)cc1,[1 1 0 ... 0 0 0],0.75177115,1
4-Fluorotryptophane,N[C@@H](Cc1c[nH]c2cccc(F)c12)C(=O)O,[0 1 0 ... 0 0 0],0.75172997,1
Tafamidis,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,[0 0 0 ... 0 0 0],0.7514288,1
Cobalamin,C/C1=C2/[N-][C@H]([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.[Co+2],[0 1 0 ... 0 0 0],0.7513858,1
Cefozopran,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1,[0 0 0 ... 0 0 0],0.7513491,1
Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone,N=C(N)c1ccc2nc(C(=O)c3nc4cc(C(=[NH2+])[NH3+])ccc4[nH]3)[nH]c2c1,[0 0 0 ... 0 0 0],0.7509393,1
"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL",COCc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21,[0 0 0 ... 0 0 0],0.7509319,1
Rebamipide,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,[0 1 0 ... 0 0 0],0.7508045,1
Gramicidin D,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,[0 1 0 ... 0 0 0],0.7506422,1
Honokiol,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,[0 0 0 ... 0 0 0],0.75044185,1
Entospletinib,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,[0 0 0 ... 0 0 0],0.7503323,1
Pterin Cytosine Dinucleotide,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@H]4Nc5nc(N)[nH]c(=O)c5N[C@H]4C(S)=C3S)[C@@H](O)[C@H]2O)c(=O)n1,[0 0 0 ... 0 0 0],0.74903744,1
Vintafolide,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)NNC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@H](NC(=O)c5ccc(NCc6c[nH]c7nc(N)nc(=O)c-7n6)cc5)C(=O)O)C(=O)O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,[1 1 0 ... 0 0 0],0.7490194,1
"N-naphthalen-1-ylmethyl-2'-[3,5-dimethoxybenzamido]-2'-deoxy-adenosine",COc1cc(OC)cc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cccc5ccccc45)ncnc32)c1,[0 0 0 ... 0 0 0],0.74851364,1
"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",CCc1cc(-c2n[nH]cc2-c2c[nH]cn2)c(O)cc1O,[0 0 0 ... 0 0 0],0.74828947,1
Golotimod,N[C@H](CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O,[0 1 0 ... 0 0 0],0.7481432,1
Cytidine-5'-Diphosphate,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,[0 0 0 ... 0 0 0],0.7480588,1
CNV-2197944,Cc1ncccc1C(=O)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)C[C@@H]1C,[0 0 0 ... 0 0 0],0.7479538,1
Verdoheme,C=Cc1c(C)c2[n]3c1C=C1C(C)=C(CCC(=O)O)C4=[N+]1[Fe]31[n]3c(c(C)c(C=C)c3O2)C=c2c(C)cc([n]21)=C4,[0 0 0 ... 0 0 0],0.7478912,1
AUM-302,COc1ncc2cc1NS(=O)(=O)c1ccc(F)c(c1)C(=O)NCc1ccc(s1)-c1ncnc3c(C)c-2sc13,[0 0 0 ... 0 0 0],0.74788547,1
Cerulenin,C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,[0 0 0 ... 0 0 0],0.74744433,1
Myxothiazol,CO/C(=C/C(N)=O)[C@H](C)[C@H](/C=C/c1csc(-c2csc([C@@H](C)/C=C/C=C/C(C)C)n2)n1)OC,[0 1 0 ... 0 0 0],0.7473819,1
Renadirsen,COC1C(OP(=O)(S)OCC23CCOC(C(n4cc(C)c(N)nc4=O)O2)C3OP(=O)(S)OCC23CCOC(C(n4cc(C)c(N)nc4=O)O2)C3OP(=O)(S)OCC2OC(n3cnc4c(N)ncnc43)C(OC)C2OP(=O)(S)OCC2OC(n3cnc4c(N)ncnc43)C(OC)C2OP(=O)(S)OCC23CCOC(C(n4cc(C)c(=O)[nH]c4=O)O2)C3OP(=O)(S)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(OC)C2OP(=O)(S)OCC23CCOC(C(n4cc(C)c(N)nc4=O)O2)C3OP(=O)(S)OCC23CCOC(C(n4cc(C)c(N)nc4=O)O2)C3OP(=O)(S)OCC2OC(n3cnc4c(N)ncnc43)C(OC)C2OP(=O)(S)OCC2OC(n3ccc(=O)[nH]c3=O)C(OC)C2OP(=O)(S)OCC23CCOC(C(n4cc(C)c(N)nc4=O)O2)C3OP(=O)(S)OCC23CCOC(C(n4cc(C)c(N)nc4=O)O2)C3OP(=O)(S)OCCO)C(COP(=O)(S)OC2C(COP(=O)(S)OC3C4OCCC3(COP(=O)(S)OC3C5OCCC3(COP(=O)(S)OC3C(COP(=O)(S)OC6C7OCCC6(CO)OC7n6cc(C)c(N)nc6=O)OC(n6cnc7c(=O)[nH]c(N)nc76)C3OC)OC5n3cc(C)c(N)nc3=O)OC4n3cc(C)c(=O)[nH]c3=O)OC(n3cnc4c(=O)[nH]c(N)nc43)C2OC)OC1n1ccc(N)nc1=O,[0 0 1 ... 0 0 0],0.74685115,1
Sivopixant,C[C@@H](Cn1c(=O)nc(Nc2ccc(Oc3ccccn3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,[0 1 0 ... 0 0 0],0.74677825,1
2-[{4-[(2S)-2-{[(Allyloxy)carbonyl]amino}-3-({4-[3-hydroxy-2-(methoxycarbonyl)phenoxy]butyl}amino)-3-oxopropyl]phenyl}(carboxycarbonyl)amino]benzoic acid,C=CCOC(=O)N[C@@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)cc1)C(=O)NCCCCOc1cccc(O)c1C(=O)OC,[0 1 0 ... 0 0 0],0.7466961,1
2-Amino-3-(1h-Indol-3-Yl)-Propan-1-Ol,N[C@H](CO)Cc1c[nH]c2ccccc12,[0 1 0 ... 0 0 0],0.7466525,1
(1S)-1-AMINO-2-(1H-INDOL-3-YL)ETHANOL,N[C@@H](O)Cc1c[nH]c2ccccc12,[0 1 0 ... 0 0 0],0.7466525,1
Hybrid Between B and C Type Hemes (Protoporphyrin Ixcontaining Fe),C=Cc1c(C)c2[n]3c1=Cc1c(C)c(CCC(=O)O)c4[n]1[Fe]31[n]3c(c(C)c(CC)c3C=2)C=c2c(C)c(CCC(=O)O)c([n]21)=C4,[0 0 0 ... 0 0 0],0.74662244,1
Telotristat,Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1,[0 1 0 ... 0 0 0],0.74645925,1
Relacorilant,Cn1cc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)cn1,[0 0 0 ... 0 0 0],0.7460492,1
2-Methoxy-6-{(E)-[(4-methylphenyl)imino]methyl}phenol,COc1cccc(/C=N/c2ccc(C)cc2)c1O,[0 0 0 ... 0 0 0],0.74595547,1
ABT-072,COc1c(/C=C/c2ccc(NS(C)(=O)=O)cc2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,[0 0 0 ... 0 0 0],0.7458931,1
ERB-196,N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,[0 0 0 ... 0 0 0],0.7456773,1
Gallium-68 PSMA,O=C(O)CCc1ccc(O)c(CN(CCN(CC(=O)O)Cc2cc(CCC(=O)NCCCCCC(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)ccc2O)CC(=O)O)c1,[0 1 0 ... 0 0 0],0.7455558,1
N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE,Cc1ncc(COP(=O)(O)O)c(CN[C@@](C)(CCC(=O)O)C(=O)O)c1O,[0 0 0 ... 0 0 0],0.74550027,1
Dotatate,C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(=O)O,[0 1 0 ... 0 0 0],0.74530333,1
Pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,[0 1 0 ... 0 0 0],0.7452857,1
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole",Cc1ccc2sc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)nc2c1,[0 0 0 ... 0 0 0],0.7446956,1
"2-[4-({[(3,5-DICHLOROPHENYL)AMINO]CARBONYL}AMINO)PHENOXY]-2-METHYLPROPANOIC ACID",CC(C)(Oc1ccc(NC(=O)Nc2cc(Cl)cc(Cl)c2)cc1)C(=O)O,[0 0 0 ... 0 0 0],0.74466425,1
Gallichrome,CC(=O)N([O-])CCCC1/N=C(\O)[C@@H](CCCN([O-])C(C)=O)/N=C(\O)C/N=C(\O)[C@H](CO)/N=C(\O)C/N=C(\O)[C@H](CCCN([O-])C(C)=O)/N=C/1O.[Ga+3],[0 0 0 ... 0 0 0],0.74465907,1
SRT-2104,Cc1nc(-c2cccnc2)sc1C(=O)Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1,[0 0 0 ... 0 0 0],0.744633,1
Echinacoside,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,[0 0 0 ... 0 0 0],0.7445948,1
N-(tert-butyl)-4-[5-(pyridin-2-ylamino)quinolin-3-yl]benzenesulfonamide,CC(C)(C)NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccccn4)c3c2)cc1,[0 0 0 ... 0 0 0],0.74413645,1
Emodin,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,[0 0 0 ... 0 0 0],0.74406606,1
(2S)-2-(1H-indol-3-yl)pentanoic acid,CCC[C@H](C(=O)O)c1c[nH]c2ccccc12,[0 1 0 ... 0 0 0],0.74374634,1
"1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,[0 1 0 ... 0 0 0],0.74354625,1
"2',3'-Dideoxycytidine-5'-Monophosphate",Nc1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(=O)n1,[0 0 0 ... 0 0 0],0.7425539,1
Ranimustine,CO[C@H]1O[C@H](CNC(=O)N(CCCl)N=O)[C@@H](O)[C@H](O)[C@H]1O,[0 0 0 ... 0 0 0],0.7423333,1
"(2Z)-2-cyano-N-(2,2'-dichlorobiphenyl-4-yl)-3-hydroxybut-2-enamide",C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,[0 0 0 ... 0 0 0],0.7421922,1
Tenofovir alafenamide,CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,[0 1 0 ... 0 0 0],0.74217373,1
TBI-223,COC(=O)NC[C@H]1CN(c2ccc(N3CC4(COC4)C3)c(F)c2)C(=O)O1,[0 0 0 ... 0 0 0],0.7420437,1
Doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,[0 0 0 ... 0 0 0],0.74184436,1
Cidoxepin,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,[0 0 0 ... 0 0 0],0.74184436,1
Thymopentin,CC(C)C(NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,[0 1 0 ... 0 0 0],0.7412537,1
Phosphoramidon,CC(C)C[C@H](NP(=O)(O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,[0 1 0 ... 0 0 0],0.7409095,1
"N-[2-(2,4-diaminopyrido[2,3-d]pyrimidin-7-yl)-2-methylpropyl]-4-phenoxybenzamide",CC(C)(CNC(=O)c1ccc(Oc2ccccc2)cc1)c1ccc2c(N)nc(N)nc2n1,[0 0 0 ... 0 0 0],0.7407044,1
3'-beta-Sialyl-beta-lactose,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@@H]2O)(C(=O)O)C[C@@H]1O,[0 1 0 ... 0 0 0],0.7406336,1
Flurandrenolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,[0 0 0 ... 0 0 0],0.74063337,1
L-N(omega)-nitroarginine-(4R)-amino-L-proline amide,NC(=O)[C@@H]1C[C@@H](NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])CN1,[0 1 0 ... 0 0 0],0.7405245,1
Tyrosyladenylate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](O)[C@H]1O,[0 1 1 ... 0 0 0],0.7404957,1
Cytidyl-2'-5'-phospho-guanosine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O[P@](=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)nc(N)[nH]c43)[C@H](O)[C@@H]2O)c(=O)n1,[0 0 0 ... 0 0 0],0.74011093,1
Rivenprost,COCc1cccc(C[C@H](O)/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCSCCCC(=O)OC)c1,[0 1 0 ... 0 0 0],0.73991925,1
ORG-34517,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc4c(c3)OCO4)C[C@@]21C,[0 0 0 ... 0 0 0],0.73956,1
"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-5-Yl]Hexyl]-Phenanthridinium",Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCCc1cnnn1CCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,[0 0 0 ... 0 0 0],0.7388606,1
Silmitasertib,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,[0 0 0 ... 0 0 0],0.7386424,1
Furaltadone,O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,[0 0 0 ... 0 0 0],0.7382476,1
3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide,NS(=O)(=O)c1ccc(N2CCCC2=O)c([N+](=O)[O-])c1,[0 0 0 ... 0 0 0],0.7381632,1
TAK-715,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,[0 0 0 ... 0 0 0],0.7381168,1
2-Hydroxybenzalpyruvate,O=C(O)C(=O)/C=C/c1ccccc1O,[0 0 0 ... 0 0 0],0.73783267,1
"3-chloro-5-[2-chloro-5-(1H-pyrazolo[3,4-b]pyridin-3-ylmethoxy)phenoxy]benzonitrile",N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4ncccc34)ccc2Cl)c1,[0 0 0 ... 0 0 0],0.73782897,1
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide",N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)nc2c1,[0 0 0 ... 0 0 0],0.7376459,1
